Price,Name
10,Broad Sword
30,Bastard Sword
75,Heat Blade
125,Falchion
175,Mind Crush
200,Fairy Sword
250,Claymore
225,Soul Eater
100,Axe
150,Tomahawk
175,Battle Axe
200,Great Axe
250,Indora's Axe
30,Rapier
100,Shadow Cutter
150,Dancing Dagger
175,Flamberge
200,Gladius
250,Dragon Buster
80,Demon Stilleto
10,Spear
50,Lance
125,Glaive
150,Spear of Terror
200,Partisan
250,Halberd
70,Twister Glaive
10,Short Bow
25,Sparkle Arrow
75,Long Bow
125,Bemusing Arrow
175,Virulent Arrow
200,Detonate Arrow
250,Arrow of Force
100,Mace
125,Morning Star
150,War Hammer
200,Heavy Mace
250,Basher
200,Pretty Hammer
50,Iron Knuckle
125,Beast Fang
150,Diamond Claw
225,Thunder Fist
250,Destroyer Mace
175,Brass Knuckle
10,Leather Armor
25,Scale Armor
75,Chain Mail
100,Plate Mail
150,Saint Armor
400,Red DG Armor
400,Jade DG Armor
75,Lion Fur
125,Breast Plate
200,Giganto Armor
400,Gold DG Armor
30,Disciple Vest
75,Warrior Dress
125,Master's Vest
150,Energy Girdle
400,Violet DG Armor
10,Clothes
25,Leather Jacket
75,Silver Vest
100,Sparkle Dress
150,Robe
400,Silver DG Armor
400,Dark DG Armor
400,Blue DG Armor
250,Armor of Yore
250,Satori Vest
250,Rainbow Dress
250,Angel Robe
5000,Armor of Legend
1, 
5,Bandana
20,Sallet
50,Armlet
75,Knight Helm
100,Giganto Helm
100,Soul Headband
5,Felt Hat
30,Cape
75,Tiara
100,Jeweled Crown
125,Rose's Hair Band
1, 
300,Phoenix Plume
5000,Legend Casque
250,Dragon Helm
250,Magical Hat
1, 
5,Leather Boots
50,Iron Kneepiece
75,Combat Shoes
5,Leather Shoes
50,Soft Boots
75,Stardust Boots
150,Magical Greaves
250,Dancer's Boots
150,Bandit's Shoes
1, 
100,Poison Guard
100,Active Ring
100,Protector
150,Panic Guard
100,Stun Guard
150,Bravery Amulet
150,Magic Ego Bell
200,Destone Amulet
100,Power Wrist
100,Knight Shield
300,Magical Ring
300,Spiritual Ring
500,Attack Badge
500,Guard Badge
500,Giganto Ring
150,Elude Cloak
150,Spirit Cloak
300,Sage's Cloak
500,Physical Ring
500,Amulet
500,Wargod's Sash
250,Spirit Ring
250,Therapy Ring
250,Mage Ring
250,Wargod's Amulet
250,Talisman
250, 
250,Holy Ankh
250,Dancer's Ring
250, 
250,Bandit's Ring
250,Red-Eye Stone
250,Jade Stone
250,Silver Stone
250,Darkness Stone
250,Blue Sea Stone
250,Violet Stone
250,Golden Stone
100, 
500,Ruby Ring
500,Sapphire Pin
500,Rainbow Earring
1, 
500,Emerald Earring
1, 
500,Platinum Collar
5000,Phantom Shield
2500,Dragon Shield
2500,Angel Scarf
5,Bracelet
50,Fake Power Wrist
50,Fake Shield
25, 
500,Wargod Calling
5000,Ultimate Wargod
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
1, 
2, 
5,Detonate Rock
5,Spark Net
5,Burn Out
1, 
5,Pellet
5,Spear Frost
5,Spinning Gale
50,Attack Ball
5,Trans Light
5,Dark Mist
5,Healing Potion
15,Depetrifier
10,Mind Purifier
5,Body Purifier
10,Thunderbolt
10,Meteor Fall
10,Gushing Magma
10,Dancing Ray
10,Spirit Potion
10,Panic Bell
1, 
10,Fatal Blizzard
10,Stunning Hammer
10,Black Rain
10,Poison Needle
10,Midnight Terror
1, 
10,Rave Twister
10,Total Vanishing
15,Angel's Prayer
2,Charm Potion
200,Pandemonium
50,Recovery Ball
1, 
200,Magic Shield
200,Material Shield
25,Sun Rhapsody
200,Smoke Ball
15,Healing Fog
200,Magic Sig Stone
60,Healing Rain
100,Moon Serenade
200,Power Up
200,Power Down
200,Speed Up
200,Speed Down
1, 
200,Sachet
10,Psyche Bomb
10,Burning Wave
10,Frozen Jet
10,Down Burst
10,Gravity Grabber
10,Spectral Flash
10,Night Raid
10,Flash Hall
25,Healing Breeze
200,Psyche Bomb X
0, 
0, 
0, 
0, 
